epoch,num_min,num_max,denom_min,denom_max
0,0,35.16320038,0.130130112,1043.34314
0,0,0.907491565,0.044606287,625.7573853
0,0,325.8408813,0.103451565,851.5855713
0,0,2.685412884,0.007036889,624.7449951
0,0,588.8873291,0.060266085,813.9701538
0,0,5.415906906,0.003824192,622.5491333
0,0,673.654541,0.013292219,695.5336914
0,0,9.723814964,0.003518508,618.9469604
0,0,667.4730835,0.010512159,645.3178711
0,0,16.59459686,0.001614782,619.9482422
0,0,531.9990234,0.026108872,665.7605591
0,0,22.96812248,0.002728387,623.2523193
0,0,481.5726929,0.043243222,664.3114624
0,0,32.43348694,0.001358244,625.4961548
0,0,683.4442139,0.052429803,678.8649902
0,0,49.45652008,7.59E-08,633.8259888
0,0,687.0465698,3.81E-07,689.9848022
0,0,54.55302811,0.000303472,631.0640869
0,0,696.8156128,0.005620911,676.3051758
0,0,68.82546234,0.004583304,638.5726318
0,0,664.05896,0.01688781,696.2179565
0,0,81.60975647,0.002383286,653.8851318
0,0.005634854,812.0725708,0.034757573,700.6594849
0,0,141.8171234,0.002640739,667.2751465
0,0.003532648,723.8577271,0.063909896,738.8867798
0,0,131.9138947,0.004662078,679.4069824
0,0.014430891,678.6261597,0.04767932,807.3488159
0,0,150.2700653,0.001740133,716.9825439
0,0,721.1564331,0.060221929,853.9120483
0,0,184.7099915,0.000172219,763.0950928
0,2.78E-05,645.8905029,0.005374466,857.7828369
0,0,198.5940247,0.006215995,765.2235107
0,0,668.612915,0.044712704,998.5944824
0,0,228.0363617,0.013862696,851.1552734
0,0,835.0296631,0.049414355,946.1330566
0,0,341.6689148,0.00439693,817.9268799
0,0,863.8660889,0.063834362,1071.775513
0,0,395.3463135,0.000151505,923.1000977
0,0,892.6245728,0.055018418,1062.065674
0,0,442.3284607,9.23E-05,923.7145996
0,0,1056.979614,8.06E-05,1315.781616
0,0,514.7990112,4.61E-06,1026.835693
0,0,785.6491699,0.000185151,1151.178101
0,0,407.5473938,1.81E-05,1003.163391
0,0,649.4817505,0.033875685,1086.140137
0,0,357.228363,0.001606657,966.6130371
0,0,796.1085205,0.009710769,1238.266968
0,0,425.3139648,0.002159921,987.2612305
0,0,846.9020386,0.049380008,1341.314453
0,0,519.4805908,0.010271265,1135.590942
0,0,670.6507568,0.062149096,1142.314331
0,0,437.7887268,0.028085399,1047.034424
0,0,768.104187,0.068893053,1232.72937
0,0,486.3147278,0.024020532,1087.671143
0,0,737.8164673,0.085872188,1221.824951
0,0,521.8656616,0.021207163,1115.020752
0,0,601.1645508,0.08533892,1207.322021
0,0,391.1580505,0.027417121,1025.283691
0,0,739.4117432,0.051639035,1445.882324
0,0,535.4172363,0.017330708,1235.97168
0,0,736.4966431,0.021417718,1313.661377
0,0,577.8591919,0.003884268,1210.59082
0,0,958.0187378,0.021327984,1753.50354
0,0,737.4435425,0.005852361,1445.730957
0,0,737.0979004,0.039252199,1399.575684
0,0,580.3730469,0.030257251,1250.484741
0,0,692.5818481,0.065209307,1662.810913
0,0,519.015625,0.033735204,1418.394043
0,0,737.4134521,0.063059844,1614.132202
0,0,603.9874268,0.052787449,1430.278442
0,0,626.944519,0.070655659,1373.360962
0,0,493.618988,0.034603991,1268.547119
0,0,890.5888062,0.045725245,1846.859497
0,0,765.6833496,0.031292461,1688.977661
0,0,519.3143921,0.060316473,1246.977051
0,0,456.3025513,0.038086198,1193.137695
0,0,598.5013428,0.056087125,1486.189697
0,0,489.2046814,0.032134764,1325.158813
0,0.00496927,580.6844482,0.107034914,1441.554688
0,0,471.545105,0.091027245,1330.558105
0,0,508.1219788,0.058049005,1287.596924
0,0,487.8586731,0.03767594,1257.733154
0,0,559.7635498,0.051389381,1493.26062
0,0,567.522644,0.04411095,1337.620972
0,0,729.4292603,0.048122279,1724.747559
0,0,663.6085205,0.033481602,1712.226685
0,0,576.9857788,0.039903808,1317.070313
0,0,444.3881531,0.030869406,1272.733521
0,0,466.5264893,0.049190205,1331.72168
0,0,506.7764282,0.043833274,1312.59668
1,0,594.3423462,0.052288853,1244.438599
1,0,532.7266235,0.039796591,1172.31543
1,0,648.3753662,0.082587153,1820.327271
1,0,563.5540161,0.032949563,1658.44165
1,0,495.7261963,0.022109073,1285.297974
1,0,470.6581726,0.010532482,1326.831909
1,0,559.718811,0.020707281,1491.036987
1,0,522.328064,0.062919088,1490.199463
1,0,639.84021,0.051632907,1458.943481
1,0,521.1951904,0.02486223,1317.114624
1,0,615.0615845,0.072068088,1383.159912
1,0,583.8149414,0.039716236,1352.833008
1,0,585.3403931,0.058068823,1286.82959
1,0,548.0576172,0.018310629,1277.891113
1,0,787.2370605,0.025879385,2006.155518
1,0,744.3464966,0.009485236,1985.189697
1,0,615.9141846,0.040139683,1527.586182
1,0,563.4940186,0.019210702,1483.055786
1,0,548.4660645,0.029443014,1649.842407
1,0,520.0133057,0.007742064,1644.640991
1,0,514.159668,0.010575706,1583.914307
1,0,478.1767883,0.000475896,1536.903687
1,0,529.6134033,0.009372262,1645.058716
1,0,498.6381836,0.008835078,1642.058838
1,0,587.1015625,0.008837597,1994.178711
1,0,538.6014404,0.010735701,1824.142944
1,0,574.2610474,0.035518855,2026.193359
1,0,526.3134766,0.028642159,1983.731445
1,0,621.8512573,0.027393622,1942.076782
1,0,559.9319458,0.026185054,1828.454102
1,0,583.5412598,0.025858229,2046.665771
1,0,527.7006226,0.022766119,1857.73877
1,0,482.6073608,0.031975284,1558.015259
1,0,434.0163574,0.031426847,1369.477783
1,0,544.3656616,0.054685295,1851.538086
1,0,536.52948,0.047564119,1800.274414
1,0,589.822998,0.05358975,1930.396973
1,0,593.3587036,0.029320283,1896.352295
1,0,732.105835,0.069417112,2617.209961
1,0,719.3418579,0.05131992,2526.824951
1,0,688.2541504,0.046401273,2458.577148
1,0,629.9313965,0.032272533,2260.519287
1,0,571.4732666,0.040581226,1666.400024
1,0,527.8145752,0.016532734,1618.280029
1,0,415.1340332,0.023289604,1901.093506
1,0,375.2883606,0.013452289,1656.942871
1,0,406.871521,0.006270044,1702.03418
1,0,403.4329224,0.018274313,1599.438843
1,0,516.1976318,0.029854445,1650.409424
1,0,524.081543,0.037894603,1722.005981
1,0,465.3887024,0.040309738,1816.559692
1,0,488.5891113,0.043083835,1950.433716
1,0,538.4169922,0.036581598,1657.647949
1,0,525.720459,0.040818945,1645.746338
1,0,528.1359863,0.052449834,1268.671509
1,0,532.8826294,0.059006896,1366.803101
1,0,440.8750305,0.056364536,1702.982544
1,0,438.7255859,0.025763564,1659.291016
1,0,500.8436279,0.008411942,1435.442017
1,0,498.2000122,0.009639142,1467.684082
1,0,620.4141846,0.014087634,1908.4198
1,0,603.7385254,0.025304077,1905.486328
1,0,593.1717529,0.046809573,1976.713623
1,0,582.1655273,0.043784603,1976.865356
1,0,496.4398804,0.028580854,1527.306274
1,0,489.5175476,0.024463063,1519.717651
1,0,476.2984619,0.029488958,1517.707275
1,0,463.2630615,0.015144568,1510.236328
1,0,513.8434448,0.016589919,1648.066528
1,0,521.4984741,0.012066596,1797.524536
1,0,562.5699463,0.024561258,2161.224121
1,0,549.6972656,0.021657363,2224.921875
1,0,618.3789063,0.030068669,2276.973633
1,0,618.4356079,0.036029834,2424.200684
1,0,385.6899719,0.032078743,1302.516235
1,0,386.5775452,0.015516916,1438.324219
1,0,461.3464355,0.03423617,1867.678223
1,0,474.2065125,0.026800869,2076.830078
